,source_id,ra,dec,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise,bp_rp,teff_gspphot,logg_gspphot,mh_gspphot,vbroad,parallax,phot_g_mean_mag,alphafe_gspspec,original_ext_source_id,angular_distance,plate,mjd,fiberID,redshift,abs_g_mag,x_test_index,X_test_index
83482,2536088066990094208,14.133654014072935,-0.07648330728191777,16.23103,14.687561,396.45404,836.392,0.0,1.5434685,4378.006,4.6019,0.2589,,2.0607777850769042,15.50979,,1237666339187916987,0.031106457,1132,52903,37,-0.0001114135,7.079946240859879,2241,2241
83577,2536241375846926336,16.430499279035203,-0.34624725199050066,16.407528,15.107866,288.71954,681.3263,0.0,1.2996616,4531.2803,4.4925,-0.0124,,1.3411213707149574,15.826665,,1237663783667695682,0.03262154,1082,52523,179,5.445565e-06,6.46400533978024,2031,2031
83586,2536249317242059776,15.909485195473234,-0.3738754921740442,17.54003,16.215788,149.65619,158.9356,0.0,1.3242416,4610.305,4.6192,-0.0429,,0.8634709733380065,16.943493,,1237663783667499126,0.021438107,1498,52914,230,0.0003137677,6.624731603374407,3712,3712
83594,2536255845592337920,15.932291691604194,-0.22922049320626023,16.951397,15.561377,213.09991,347.36707,0.14633968,1.3900204,4529.298,4.5406,0.0175,,1.1772447906778145,16.32106,,1237663783667499143,0.019230444,1498,52914,225,-9.509268e-05,6.675394067467913,672,672
83619,2536280550244296448,16.627401298832112,0.04408472551096526,16.683609,15.309085,203.48697,384.70392,0.0,1.3745241,4498.5728,4.5298,-0.0938,,1.3044646281931267,16.068115,,1237663784204697704,0.07470027,1082,52523,491,0.0001413193,6.645276770801836,322,322
83620,2536283470822032384,16.346276226256876,-0.10770898779179609,16.881147,15.374006,277.14584,651.23627,0.0,1.5071411,4487.9414,4.5993,0.4842,,1.393851827882885,16.17791,,1237666339188834481,0.103173666,1498,52914,494,3.794709e-05,6.898992895805748,1555,1555
83729,2536523920271126016,15.673389648620565,0.2753004828821791,17.353212,15.787772,159.63385,399.84778,0.858316,1.5654402,4093.9277,4.7256,-0.4327,,1.2839947687424424,16.665232,,1237666339725443244,0.06268603,1083,52520,587,0.0001477788,7.208047976370953,1072,1072
83755,2536574222928114048,15.82857118445023,0.672500647013643,17.463663,15.6946535,123.921814,294.17734,0.0,1.7690096,4090.2368,4.6788,-0.2023,,1.8746323123689022,16.60356,,1237663204921114723,0.038392473,1082,52523,383,-0.0001235768,7.968139986688207,2576,2576
83792,2536650325453513216,15.477321483398198,1.0684708399254979,18.3653,16.565329,66.63453,199.36908,0.0,1.7999706,4104.3354,4.3932,-0.0043,,1.0203796678691428,17.48069,,1237666340799119446,0.026823122,1083,52520,605,7.386396e-06,7.524498983704987,3182,3182
83807,2536663145931122048,12.838795086645716,-0.9377586954073315,18.16112,16.717712,93.46445,210.71782,0.027361412,1.443407,4332.55,4.481,-0.1188,,0.4211510026372557,17.497643,,1237657189837111437,0.050043754,1132,52903,127,7.219789e-05,5.6198317118739425,1883,1883
83820,2536673591291543936,12.538338467057821,-0.8952320444380016,18.388706,16.676592,67.70483,234.73602,0.0,1.7121143,4157.129,4.6781,-0.0087,,0.8575806838478388,17.551075,,1237657189836980366,0.025733061,1129,52641,131,-5.943363e-05,7.217449933726943,837,837
83835,2536692729665891456,12.962223167042533,-0.7575420432679454,16.392588,14.705216,436.33585,732.76605,0.046120845,1.6873713,4430.122,4.6051,0.5066,,2.2324067951114834,15.582727,,1237663783129317505,0.032160904,1128,52637,95,-3.476108e-05,7.326594111120503,1654,1654
83855,2536708432066321536,12.961134984173237,-0.588641397679745,16.997934,15.899067,183.96445,257.30377,0.0,1.0988674,4991.5073,3.7548,-0.1,,0.7169812286345296,16.527754,,1237656971302011033,0.012288421,1084,52591,106,8.02426e-05,5.805292757478048,1400,1400
83889,2536739527629463296,12.4709718762095,-0.5164767926489425,17.388432,15.628754,208.27632,457.69427,0.0,1.7596779,4268.863,4.3443,0.1782,,1.2732352648737597,16.536915,,1237656971301814385,0.030711086,1132,52903,187,5.322165e-05,7.061458119419207,1410,1410
83926,2536764713317720576,12.647976826102319,-0.42339036725997115,17.941505,16.223906,111.88187,252.49364,0.0,1.7175999,4149.7,4.3402,0.0371,,1.1320589149951032,17.114395,,1237657190373851248,0.023305593,1132,52903,180,2.814698e-05,7.383740287309262,903,903
83955,2536787047147692544,12.749173484734403,-0.1808182989026785,17.42504,15.931383,146.58958,276.8793,0.11355102,1.4936562,4193.206,4.1163,-0.3543,,0.798249418252921,16.739296,,1237657190910787788,0.012853742,1128,52637,166,-0.0001099215,6.2499890130080615,3659,3659
84006,2536828759870037504,13.673226052506953,-0.2651825975938284,16.301237,14.8001375,353.28903,554.1797,0.0,1.5010996,4498.6543,4.666,0.4965,,1.872678648371244,15.609891,,1237663783666516055,0.046191197,1131,52902,61,-8.814002e-05,6.972207232015084,2525,2525
84080,2536889026851041152,12.805499623438221,0.06654760066506393,18.128231,16.741636,90.12851,165.01921,0.1425273,1.3865948,4307.6143,4.6461,-0.8124,,0.8291008879473806,17.494957,,1237663784202993769,0.053947363,1129,52641,499,-0.0002015777,7.08799387153643,3938,3938
84086,2536894352610535680,13.098373274527047,0.2135742654061392,16.152752,14.62602,313.29602,1018.4609,1.445274,1.5267315,4239.7134,4.0925,-0.0454,,1.4487947801628864,15.484297,,1237657191447789635,0.046136145,1132,52903,502,-0.0001047724,6.289331161690583,249,249
84098,2536905721388741504,13.3267377157946,0.18232003253014437,17.439001,16.233543,116.86166,307.28574,0.19974858,1.2054577,4651.132,4.7133,-0.6797,,0.8724557418086037,16.912092,,1237663784203255921,0.030781714,1496,52883,546,-0.0002606112,6.615809234721425,823,823
84144,2536938126917216768,12.02260093517291,-0.4095616823807658,16.848759,14.988901,152.85178,611.3114,0.0,1.8598576,4133.9976,4.6482,0.1426,,2.160940546055412,15.945489,,1237663783665795176,0.06811677,1128,52637,279,-0.0001383486,7.618703021278904,1126,1126
84266,2537023613946219776,11.437200913779401,-0.05742032011291052,17.632807,15.986778,141.79936,323.17484,0.0,1.6460285,4397.725,4.6498,0.4643,,1.1878101281447364,16.849092,,1237657190910197857,0.02822111,1130,52669,298,-7.372535e-06,7.222827603878905,3146,3146
84394,2537116419599605504,12.91176486238029,0.4973346583724216,17.079966,15.144094,255.19728,614.2904,0.16599767,1.9358711,4177.4487,4.5385,0.1502,,2.1070546183871586,16.144625,,1237663784739930230,0.01822001,1131,52902,496,0.0001518742,7.763003677057334,834,834
84411,2537129437644877568,12.821323582836943,0.5631838563578472,16.228643,14.93223,500.3202,833.888,0.0,1.2964134,4605.099,4.6536,-0.4418,,1.739603558773614,15.653975,,1237663784739864625,0.037044547,1132,52903,515,0.0001169129,6.856225970316348,3162,3162
84430,2537144938182487680,13.010426807453685,0.8742129731109771,17.628416,16.083488,149.13614,311.76193,0.0,1.5449276,4417.787,4.6624,0.1461,,1.1328683747084403,16.906687,,1237663785276801158,0.026619269,1130,52669,554,1.935794e-05,7.177584048576858,1095,1095
84450,2537161911893136000,12.405707416510307,0.6684200824169642,17.924824,16.38685,89.537285,246.08156,0.0,1.5379734,4381.6343,4.6217,0.0304,,1.0129773619550435,17.194948,,1237663204919607355,0.028746305,1130,52669,436,-8.702893e-05,7.222946895631768,898,898
84459,2537167473875116160,12.042145375562981,0.568957392369395,17.639082,16.003159,124.017494,399.10895,0.0,1.6359234,4253.5684,4.6693,0.0093,,1.2157826276640662,16.859537,,1237663716019601546,0.038748015,1132,52903,422,4.079129e-05,7.283816791896228,4046,4046
84490,2537197680380850816,12.80973374322662,1.0207869014038333,16.120138,14.724089,444.47055,913.479,0.0,1.3960495,4477.8315,4.6124,-0.0333,,1.9806075935233574,15.485725,,1237663785276735544,0.0051474012,1132,52903,447,-1.261189e-05,6.969717601704673,429,429
84497,2537204621047957632,12.509691411651477,0.933250850023528,17.569466,15.866278,153.28777,343.95914,0.10224431,1.703188,4387.021,4.5696,0.2777,,1.4465323563157175,16.747679,,1237663785276604449,0.031218113,1132,52903,406,4.325783e-05,7.549319519092254,2254,2254
84506,2537209259612680448,12.747893423843168,1.0211850131167997,17.69256,15.941638,112.51576,347.54224,0.0,1.7509222,4299.5933,4.5791,0.2829,,1.6268704143683155,16.84342,,1237663785276735686,0.01626449,1130,52669,512,-0.0001302552,7.900184835269734,3675,3675
84570,2537296292830001024,13.892377997705337,0.5419764767726918,18.399551,16.727018,91.000824,177.7359,0.030475823,1.672533,4156.7363,4.3802,0.0006,,0.8358531989434589,17.58865,,1237663784740323499,0.016715512,1128,52637,596,2.209037e-05,7.199299794324702,2529,2529
