source_id,ra,dec,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise,bp_rp,teff,logg,mh,vbroad,alpha
1855208482110690944,319.90876155880187,33.73959957567973,13.250063,12.095626,2994.3523,4330.1934,0.03470337,1.1544371,5291.1006,3.5685,-0.1001,,0.16
1885313007393934976,346.03194674291257,29.783125164686655,11.380304,10.535595,1715.0751,4378.061,0.32195354,0.8447094,5709.8125,4.0954,-0.2024,,0.03
1895186136478254976,332.6517249200275,29.6909663241829,12.6930685,11.742241,1832.3337,2914.7935,0.044356186,0.9508276,5419.0,4.3617,0.2828,,-0.12
1902371208744992384,337.98938847859546,33.85091565881041,13.445583,12.263028,1910.471,3383.528,0.07304953,1.1825552,4769.968,2.7773,-0.4541,,-0.13
1914829637559795200,347.4843566776923,35.804219493019644,13.007456,12.201171,2346.7527,3134.1182,0.028451584,0.8062849,5800.7417,4.3867,-0.7761,,0.14
1930145147340573696,344.91065198581356,39.941414566984086,13.037961,11.774145,2115.1084,3156.396,0.033717915,1.2638159,4955.4995,3.3165,-0.1149,,0.04
1930859520661464704,347.77819510766875,42.57220412206295,10.65198,10.03399,4308.8784,6374.275,0.09731623,0.6179905,6663.433,4.0414,-0.0303,7.2681713,0.16
2508433975161777536,31.254204688513568,2.0401243533391478,11.648163,10.981885,1708.3301,2480.8376,0.15355694,0.6662779,6164.1963,4.006,-0.4217,10.027877,0.47
2557026788472914176,9.893645940612474,6.688460359369149,10.648105,9.910942,3620.235,4250.726,0.18430482,0.7371626,6118.2544,4.0414,-0.1836,,0.22
2765394721657250304,1.03403897776072,10.775536714120006,12.719998,11.822006,2293.658,3443.7603,0.23840104,0.89799213,5614.551,4.1119,-0.4313,,0.12
2797120717358739200,1.7552018844017867,18.44195228597602,11.554196,10.489655,2100.5515,2914.7896,0.088275746,1.0645418,5687.185,3.3631,-0.0097,,0.18
2861870373003201024,2.1007259533727476,31.71515098301348,10.705629,9.510263,2543.696,3870.4136,0.08532891,1.1953659,5264.8726,2.8896,-0.0402,10.350135,0.05
2861879203455953792,2.28601497544627,31.894602334685267,12.489403,11.637873,2347.5398,4027.9302,0.08295045,0.8515301,5744.813,4.3949,-0.3091,,0.18
2870926844123382784,351.3168618324096,31.72116666616011,11.398792,10.608956,2711.8945,3592.5874,0.13214679,0.78983593,5754.889,4.4012,-0.2317,5.2545958,0.23
2907613458334446976,84.61159548571493,-27.64163057316541,10.432922,9.323783,3517.4287,5744.9033,1.6893764,1.1091394,4923.7856,2.791,-0.6063,8.511168,-0.02
2927587422785011584,107.51016651141589,-23.24321085349584,13.113814,11.179853,908.80414,1689.0015,0.093289144,1.9339609,4571.6104,1.8637,0.0102,10.072969,0.15
2931537766212168448,110.65015428510792,-17.955549746503326,12.479683,10.740699,2166.3223,3092.5273,0.103790425,1.7389841,4509.4424,2.0797,0.0481,7.917263,0.05
2935403919667417472,106.4925748051635,-17.067594049913797,10.772654,9.899495,4251.3223,3511.9397,0.07453919,0.87315845,5648.081,4.3621,-0.107,8.2883625,0.05
2963640241559300352,84.85735643891411,-22.930404635059666,10.50025,9.383077,5110.8916,7000.296,0.08301575,1.1171732,5113.2705,2.8252,-0.1687,9.914974,0.08
3020993688641028096,92.43815213004821,-4.674758930951178,14.607567,12.328286,680.98016,1138.3395,0.0,2.2792807,3668.2273,4.7348,-0.0082,,0.05
3173126378067086848,69.71126086269291,-15.685864536006402,11.16149,10.373075,2494.9915,3600.5916,0.08878451,0.7884159,5724.982,4.304,-0.5237,7.078519,0.14
3208461555047986688,79.83731307618324,-5.753269653789854,13.738728,12.163938,1170.4597,1667.0598,0.9093888,1.57479,4409.6772,4.4999,0.0725,13.097421,0.25
3213232061122601216,76.11931761243419,-3.0462870497886123,10.866861,9.742482,4615.609,4877.906,0.11836482,1.1243792,5012.0957,3.2698,-0.1023,7.098014,-0.01
3221250971222915456,80.74092327949238,-0.5160461689600935,12.048477,10.657467,2777.7073,3629.5605,0.21249568,1.3910103,4754.384,2.537,0.08,10.556411,-0.03
3225609362298918400,75.21301598174487,-1.8084227457972462,12.496296,11.745964,2519.1282,3293.6853,0.10877968,0.7503319,5846.2407,3.8794,-0.5024,,0.43
4809103949669906432,81.94856627145296,-38.42626575299979,12.04726,11.336973,2367.561,2912.4648,0.08486326,0.7102871,6021.026,3.8056,-0.4412,9.585822,0.22
5055115793734310656,49.89758492191479,-31.321506990255568,12.993238,12.102702,2315.9614,3321.695,0.04537832,0.8905363,5492.1216,4.4508,0.0542,,-0.08
5112513706614241536,53.90347067162106,-14.525912477743123,12.430729,11.711743,1778.5404,2594.1038,0.055451464,0.71898556,6220.935,3.872,-0.5553,,0.38
5165613070193525632,53.29076422308824,-7.511488671184178,12.736216,11.419175,1551.7402,1840.9625,0.06879813,1.3170404,4659.8423,2.7553,0.0707,5.4973655,-0.1
5538490448521261184,118.06150791668946,-38.6292073423653,12.652168,11.212621,2063.3362,3505.525,0.012591398,1.4395475,5021.8623,2.7748,-0.1193,,-0.07
5538866107846037504,118.08775259091485,-38.57719746012927,12.382846,10.968395,2528.9058,3680.6084,0.029029535,1.4144506,4741.0,2.3971,-0.4412,6.999316,-0.13
5540799629097961472,122.70540915315323,-38.31424608700242,13.066775,11.277745,1503.3638,4258.5083,0.030006532,1.7890301,4950.8657,2.6804,0.0004,7.904368,-0.09
5569923561813987584,96.04736923839802,-42.41204023904226,12.247257,11.363077,1678.3458,1888.7986,0.059255455,0.88418007,5576.819,4.554,-0.0509,,0.14
5574333226213940864,94.3567587594049,-40.053356421075556,13.169955,12.33175,1845.1116,2355.4204,0.77653474,0.83820534,5546.75,3.6572,-0.7949,,0.22
5591609027795116544,111.91805489588924,-34.058819742195205,11.756772,10.863924,2721.1958,4157.0225,0.17332865,0.892848,5517.2734,4.3754,-0.2342,6.212742,-0.01
5592039379213248256,114.88855375028513,-32.48941949063868,12.044277,11.204214,2403.279,2650.2598,0.11200682,0.8400631,5615.8735,4.1115,-0.8707,12.162816,0.56
5600078943825185408,114.71426122827414,-28.17223092334076,14.330038,12.278399,1609.295,3460.198,0.0,2.0516386,5801.767,2.8298,0.0135,10.871206,-0.01
5617980023916052352,108.83963298888115,-23.662429900604547,12.645663,11.302679,3276.2358,5380.629,0.11969342,1.3429842,4675.768,2.2104,-0.6003,11.527647,0.02
5693301170316256256,126.413812920982,-27.29139360971744,12.3771715,11.372893,2399.808,4163.4844,5.249824,1.0042782,5380.0503,4.5858,-0.4166,9.594077,0.02
5697460077363864576,120.02863980815609,-25.66500194026858,10.540584,9.382834,4102.6025,5182.1597,0.15714735,1.1577492,4756.3286,2.4817,-0.2349,10.556864,-0.11
11046419662852864,50.346975142160545,8.606726080279948,12.219362,11.334121,1418.7341,2794.6196,0.09160299,0.8852415,6557.58,3.8775,-0.4116,20.411896,0.47
121622135109371392,47.69603372363415,27.69776145855358,12.796328,11.733242,1956.544,3127.8586,0.14137173,1.0630856,6243.3994,4.1081,-0.4212,,0.26
160533649754648960,73.9617331002816,32.04942529804691,12.922731,10.763084,1797.9056,3197.9246,0.11868754,2.159647,4831.9224,1.9123,0.2273,6.840113,0.02
175802494714668288,65.24420322456236,33.89611954543477,13.786521,12.034206,1348.248,1623.3812,0.08320878,1.7523146,5000.668,2.6946,-0.0994,8.740774,-0.07
181417666236513280,78.06182785489858,32.32637519372761,13.428272,12.222361,1945.4506,2500.9543,0.21801218,1.2059116,6277.658,3.9595,-0.1819,,0.04
188431420848188288,76.41622036372692,38.98650818659764,12.466273,11.508313,2067.511,3632.939,0.07391821,0.9579601,5702.1567,4.4553,-0.4754,6.1730685,0.18
189937717419966720,86.33786402837151,38.69801458175628,13.477809,11.943043,1813.013,3856.2595,0.051239558,1.5347662,5453.9307,2.599,-0.1885,,0.05
195575566370580096,83.0593080718034,43.421195459527624,13.741854,11.8952465,1069.4265,2191.0188,0.07764376,1.8466072,5456.3804,2.5193,0.0381,16.523235,-0.09
199195948923252992,75.09443859740928,39.59598268658005,12.602168,11.733257,728.0297,1114.5867,0.05749938,0.8689108,5832.94,4.2753,-0.3073,,0.15
