source_id,ra,dec,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise,bp_rp,teff,logg,mh,vbroad,alpha,original_ext_source_id,angular_distance
3900425316653380224,184.95480012192317,5.718659155362231,11.599813,10.443187,1730.2489,2095.7593,0.08779751,1.1566267,4822.369,2.5778,-0.5574,9.386503,0.07,1237654606410350618,0.055582978
3910760829033441536,172.42623822407202,7.658527045248618,11.903215,10.417693,1430.7239,1911.9213,0.10613212,1.4855223,4581.2656,1.9081,-0.7021,,0.17,1237658424096129052,0.089482725
3917297219502084736,172.38917209321764,11.63085696480207,12.006996,11.135695,1849.5217,3075.9675,0.08373911,0.8713007,5747.9805,4.5045,0.1097,7.462088,0.12,1237661949175398468,0.0695475
3954703601511668736,191.3455995804324,21.771533216054408,10.803705,10.212048,2011.0817,3243.1416,0.19163986,0.59165764,6595.2754,4.2067,-0.2468,19.826088,0.42,1237667734511419478,0.087333195
3958858690312590336,189.2686142271713,23.201793937411605,13.009375,12.086463,1922.384,2433.4392,0.093600534,0.92291164,5387.445,4.5359,-0.3377,,-0.09,1237667736121180229,0.039199136
3963083460663611904,191.48682069508052,29.3335971679721,11.46172,10.810865,1847.3435,3046.1033,0.13959576,0.65085506,6215.8965,4.2556,-0.182,7.000208,0.13,1237667253481439267,0.07809525
4008693367646744576,185.8462821334713,26.789434709847416,12.565545,11.761257,1689.7812,2596.8188,0.11537144,0.8042879,5722.7163,4.4201,-0.1145,,-0.17,1237667322183614475,0.104888536
4029398923944283136,183.2961195499212,35.71526352071003,12.6228695,11.909767,1206.3365,2200.276,0.061619952,0.71310234,5977.824,4.2774,-0.3907,,-0.0,1237665025978204239,0.052459534
4403721365493057792,234.6060680541754,-2.4695537489054025,13.127478,11.778167,1283.9365,2194.2107,0.055607595,1.3493109,5443.21,2.8954,0.067,,-0.15,1237655497604202659,0.050603177
4403993911235031296,236.57735850973643,-2.017561060199439,13.023102,11.891235,1752.1401,2094.8147,0.083495386,1.1318665,5046.6997,4.4227,-0.5468,8.30678,0.07,1237655498141990945,0.03689516
1164817297002816512,234.5691188627299,8.830255565303283,11.557915,10.802741,1780.7881,2041.4313,0.19455093,0.7551737,5926.7993,4.0296,0.0408,,0.04,1237662635836244138,0.26291016
1208965575075816448,230.0025530290734,18.09012885763137,11.256386,10.371561,2642.907,3791.376,0.12254857,0.88482475,5599.542,4.1794,0.0734,,0.03,1237665566076764199,1.1799327
1272441102902739328,234.122978792328,28.523959951136984,13.131502,12.248131,2684.698,3386.9714,0.042677715,0.88337135,5497.4487,4.451,-0.1724,,0.43,1237662224622616694,0.03836406
1291579271014638976,227.06639220147383,35.469083756693394,13.173213,12.1916275,2698.6794,2986.777,0.08015098,0.9815855,5326.081,4.5598,-0.3198,,0.38,1237662196151615519,0.10209838
1303681732940849664,244.7921540820355,26.469172373602266,11.177505,10.434102,3008.773,5019.545,0.087673165,0.7434025,5893.546,4.253,-0.2116,,0.13,1237662641196171330,0.23935838
1310416653978012416,256.07282963510823,31.611418413225586,11.785037,11.027849,1656.9675,2720.4355,0.13763782,0.75718784,5963.029,4.3746,-0.262,,0.13,1237655374114979933,0.03140302
1312018779859495552,248.67048402560772,30.113644555177693,10.119565,9.496379,2642.6228,4250.722,0.16548751,0.6231861,6359.1084,3.9883,-0.2592,11.949464,0.16,1237662500010655808,0.4012956
1318049154459780736,247.20858977020316,29.921771532378735,11.00944,10.350447,2109.2522,3745.7295,0.11240634,0.6589937,6221.939,4.1721,-0.3372,,0.3,1237662300837773477,0.31600773
1331873314155817728,248.66958671517506,39.31860909142781,11.435482,10.796554,1906.3413,3072.1633,0.12989211,0.6389284,6286.4907,4.2902,-0.0337,11.317252,0.23,1237655472358031533,0.06522506
